Амстердам,Нидерланды
Андорра-ла-Велья,Андорра
Афины,Греция
Белград,Сербия
Берлин,Германия
Берн,Швейцария
Братислава,Словакия
Брюссель,Бельгия
Будапешт,Венгрия
Бухарест,Румыния
Вадуц,Лихтенштейн
Валлетта,Мальта
Варшава,Польша
Ватикан,Ватикан
Вена,Австрия
Вильнюс,Литва
Дублин,Ирландия
Загреб,Хорватия
Киев,Украина
Кишинёв,Молдавия
Копенгаген,Дания
Лиссабон,Португалия
Лондон,Великобритания
Любляна,Словения
Люксембург,Люксембург
Мадрид,Испания
Минск,Белоруссия
Монако,Монако
Москва,Россия
Осло,Норвегия
Париж,Франция
Прага,Чехия
Рейкьявик,Исландия
Рига,Латвия
Рим,Италия
Сан-Марино,Сан-Марино
Сараево,Босния_и_Герцеговина
Скопье,Македония
София,Болгария
Стокгольм,Швеция
Таллин,Эстония
Тирана,Албания
Хельсинки,Финляндия
Подгорица,Черногория
Приштина,Республика_Косово
Тирасполь,Приднестровье
Абу-Даби,ОАЭ
Амман,Иордания
Анкара,Турция
Астана,Казахстан
Ашхабад,Туркмения
Багдад,Ирак
Баку,Азербайджан
Бангкок,Таиланд
Бандар-Сери-Бегаван,Бруней
Бейрут,Ливан
Бишкек,Киргизия
Вьентьян,Лаос
Дакка,Бангладеш
Дамаск,Сирия
Дели,Индия
Джакарта,Индонезия
Дили,Восточный_Тимор
Доха,Катар
Душанбе,Таджикистан
Ереван,Армения
Иерусалим,Израиль
Исламабад,Пакистан
Кабул,Афганистан
Катманду,Непал
Куала-Лумпур,Малайзия
Мале,Мальдивы
Манама,Бахрейн
Манила,Филиппины
Маскат,Оман
Нейпьидо,Мьянма
Никосия,Кипр
Пекин,КНР
Пномпень,Камбоджа
Пхеньян,КНДР
Сана,Йемен
Сеул,Республика_Корея
Сингапур,Сингапур
Ташкент,Узбекистан
Тбилиси,Грузия
Тегеран,Иран
Токио,Япония
Тхимпху,Бутан
Улан-Батор,Монголия
Ханой,Вьетнам
Шри-Джаяварденепура-Котте,Шри-Ланка
Эль-Кувейт,Кувейт
Эр-Рияд,Саудовская_Аравия
Лефкоша,Турецкая_Республика_Северного_Кипра
Рамалла,Государство_Палестина
Сухум,Абхазия
Тайбэй,Китайская_Республика
Цхинвал,Южная_Осетия
Абуджа,Нигерия
Аддис-Абеба,Эфиопия
Аккра,Гана
Алжир,Алжир
Антананариву,Мадагаскар
Асмэра,Эритрея
Бамако,Мали
Банги,ЦАР
Банжул,Гамбия
Бисау,Гвинея-Бисау
Браззавиль,Республика_Конго
Бужумбура,Бурунди
Виктория,Сейшельские_Острова
Виндхук,Намибия
Габороне,Ботсвана
Дакар,Сенегал
Джибути,Джибути
Джуба,Южный_Судан
Додома,Танзания
Каир,Египет
Кампала,Уганда
Кигали,Руанда
Киншаса,ДР_Конго
Конакри,Гвинея
Либревиль,Габон
Лилонгве,Малави
Ломе,Того
Луанда,Ангола
Лусака,Замбия
Малабо,Экваториальная_Гвинея
Мапуту,Мозамбик
Масеру,Лесото
Мбабане,Свазиленд
Могадишо,Сомали
Монровия,Либерия
Морони,Коморы
Найроби,Кения
Нджамена,Чад
Ниамей,Нигер
Нуакшот,Мавритания
Порт-Луи,Маврикий
Порто-Ново,Бенин
Прая,Кабо-Верде
Претория,ЮАР
Рабат,Марокко
Сан-Томе,Сан-Томе_и_Принсипи
Триполи,Ливия
Тунис,Тунис
Уагадугу,Буркина-Фасо
Фритаун,Сьерра-Леоне
Хараре,Зимбабве
Хартум,Судан
Ямусукро,Кот-д’Ивуар
Яунде,Камерун
Харгейса,Сомалиленд
Эль-Аюн,Сахарская_Арабская_Демократическая_Республика
